,hgnc_symbol
339,FAM197Y3
340,TSPY6P
341,FAM197Y2
342,TSPY10
343,UBE2Q2P4Y
344,LINC00265-2P
345,LINC00266-2P
346,CICP2
347,RBMY2XP
348,USP9YP13
349,ELOCP9
350,CYCSP48
351,RAB9AP3
352,USP9YP14
353,USP9YP7
354,FAM41AY1
355,NLGN4Y-AS1
356,AGKP1
357,CDY5P
358,PRRC2CP1
359,CCNQP2
360,ELOCP26
361,CDY7P
362,OFD1P13Y
363,RPS24P1
364,C2orf27AP1
365,ZNF736P2Y
366,TRIM60P10Y
367,RBMY3AP
368,OFD1P15Y
369,ELOCP17
370,USP9YP34
371,CYCSP46
372,TSPY15P
373,BPY2B
374,CDY15P
375,ZNF736P9Y
376,ZNF736P7Y
377,ZNF736P8Y
378,ACTR3BP1
379,BPY2C
380,TTTY4B
381,RBMY2JP
382,USP9Y
383,USP9YP33
384,OFD1P11Y
385,TOMM22P2
386,SRY
387,RNASEH2CP1
388,TRAPPC2P4
389,USP9YP19
390,ARSFP1
391,TRIM60P11Y
392,XKRYP4
393,ELOCP34
394,TSPY25P
395,FAM197Y1
396,TTTY17B
397,TRIM60P5Y
398,ZNF736P12Y
399,ARSEP1
400,TTTY8
401,DAZ4
402,BPY2DP
403,CASKP1
404,SFPQP1
405,TAB3P1
406,DPPA2P1
407,DDX3Y
408,XKRYP5
409,ARSDP1
410,XGY1
411,OFD1P4Y
412,ELOCP13
413,OFD1P2Y
414,CDY8P
415,CDY2B
416,OFD1P1Y
417,USP9YP27
418,ACTG1P2
419,TAF9P1
420,CLUHP1
421,FAM224B
422,RNU1-41P
423,RNU1-95P
424,RNA5SP521
425,RNU6-941P
426,RNU6-184P
427,RN7SL725P
428,RN7SKP282
429,RN7SL702P
